model,k,silhouette,davies_bouldin,calinski_harabasz
kmeans_k2,2,0.31251672978014744,1.2757619135157738,1349.9696658056969
kmeans_k3,3,0.18708926135353077,1.7254400892439496,927.2343445481193
kmeans_k4,4,0.13189573081949557,2.0378274307550517,721.8636115121418
kmeans_k5,5,0.1316574692805683,1.9863337785402835,612.2927164737459
kmeans_k6,6,0.12121181232254169,2.113303350819271,529.3879242246695
agg_ward_k2,2,0.2746262428202429,1.3824739573029474,1175.78174458228
agg_ward_k3,3,0.1754520453741442,1.9002336609125325,802.5856335203775
agg_ward_k4,4,0.08241575085892154,2.224749232947531,614.1152611802794
agg_ward_k5,5,0.07937350986908388,2.3686794252629153,508.6611021701666
agg_ward_k6,6,0.058831927033091744,2.5046124692436136,440.0496394872126
gmm_full_k2,2,0.2063841160508566,1.5770545235624471,851.525641767318
gmm_diag_k2,2,0.2990271312721885,1.3148529429712632,1300.7381579411388
gmm_full_k3,3,0.09938593593510059,2.934467981214601,602.8378060955454
gmm_diag_k3,3,0.15977881985512324,1.897657411018062,858.6767429743016
gmm_full_k4,4,0.01483288500883096,5.646134989966076,408.2309550143516
gmm_diag_k4,4,0.07877953917308825,3.653378992756928,597.6043469006787
gmm_full_k5,5,0.003778689068613898,4.491094173873554,324.3699105217552
gmm_diag_k5,5,0.06555928049581393,3.7170821422950304,495.34702995431496
gmm_full_k6,6,0.00416597624800191,4.06766662235157,269.2831115599475
gmm_diag_k6,6,0.05562716306850483,4.264428864752182,430.5786117662725
dbscan_eps0.5_min5,0,,,
dbscan_eps0.5_min10,0,,,
dbscan_eps0.7_min5,0,,,
dbscan_eps0.7_min10,0,,,
dbscan_eps1.0_min5,0,,,
dbscan_eps1.0_min10,0,,,
